Add 方式,session_id,source_turn_id,page_id,raw_token_count_including_special,effective_token_count,truncated,summary_tokens_total,summary_tokens_kept,keywords_tokens_total,keywords_tokens_kept,user_tokens_total,user_tokens_kept,user_truncation_status
原 Production Add（仅当前 User + Assistant）,S004,S004-Q016,9195d3a5-2623-5911-b769-527782545856,445,445,False,346,346,43,43,54,54,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q017,6b0cec96-1edf-5cb2-b054-176212013f52,401,401,False,290,290,51,51,58,58,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q018,1e8809d9-9426-51b9-9e17-039093174440,494,494,False,397,397,47,47,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q019,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,465,465,False,373,373,46,46,44,44,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q020,0fb13663-e832-5a6c-8e8b-55cb61f4a77b,585,512,True,477,477,42,33,64,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q021,9491736f-87d9-560c-86bf-a73959049fab,336,336,False,229,229,41,41,64,64,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q022,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,321,321,False,206,206,44,44,69,69,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q023,73b2fb55-c036-52ca-842e-cc784d317c61,523,512,True,406,406,47,47,68,57,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q024,a655a675-0bf0-58db-b487-3e8f7894215e,294,294,False,184,184,41,41,67,67,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q025,af2f12c2-5599-5bb2-a024-327fc47109bd,539,512,True,423,423,43,43,71,44,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q026,301ca8db-dd23-5356-b475-b3ed2daf748b,707,512,True,602,510,38,0,65,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q027,c022f180-c519-52a7-9c70-3f15928609b5,524,512,True,401,401,50,50,71,59,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q028,ae78b166-a715-5bad-b3ae-501af9bd7712,313,313,False,218,218,46,46,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q029,dad4c589-bd44-5d61-917f-9435b971db4d,478,478,False,350,350,51,51,75,75,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q030,e7289295-5eb7-5200-bd81-84fad17ad553,449,449,False,325,325,44,44,78,78,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q031,75f290ce-098c-5c12-841f-3c5bc9912aeb,433,433,False,337,337,45,45,49,49,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q032,594016a4-b321-5143-a8c6-3923fed20111,378,378,False,286,286,42,42,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q033,8c9b465d-a424-5d6b-af1b-4518bf5982de,644,512,True,549,510,45,0,48,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q034,094486b7-1e86-5360-8005-66c6886152c2,353,353,False,254,254,45,45,52,52,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q035,7bce82cf-85f9-5dca-a1dd-56af843fb11e,245,245,False,152,152,45,45,46,46,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q036,c61777d3-f94f-5655-9b6b-9d6cdc28c303,482,482,False,383,383,45,45,52,52,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q037,cdfd9333-0291-5cf2-967a-cfe6225d31dd,443,443,False,348,348,45,45,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q038,703822a7-ed06-55d2-95de-006ba6203852,454,454,False,358,358,44,44,50,50,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q039,7a1cdd42-73f1-58ab-9996-cc98d575e415,565,512,True,478,478,45,32,40,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q040,682aecdf-197a-5dc6-b88d-886b08ffb500,400,400,False,298,298,44,44,56,56,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q041,33b99375-9503-5010-b7f4-1c25f0e553bd,581,512,True,484,484,48,26,47,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q042,1c71306d-9c13-5283-93c6-a4254c6bd987,350,350,False,253,253,41,41,54,54,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q043,08c5243c-c754-5bb1-b020-dfbf21f542d7,517,512,True,415,415,45,45,55,50,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q044,efa76ffd-7a27-50b3-8489-bff781ea4539,370,370,False,275,275,44,44,49,49,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q045,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,491,491,False,390,390,48,48,51,51,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q046,32502b7b-9913-5e52-ba96-42d70a980a75,326,326,False,251,251,45,45,28,28,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q047,bead4a59-825d-5fae-97c6-57173fa22a57,451,451,False,342,342,47,47,60,60,FULLY_KEPT
