session_id,query_id,score_type,best_gold_score,strongest_nongold_score,margin,positive_margin
S002,S002-Q049,Relation cosine,0.5994030355695529,0.6218381298683959,-0.02243509429884305,False
S002,S002-Q049,Field-aware final,0.7032594165809044,0.7195836924210322,-0.016324275840127744,False
S002,S002-Q052,C3 Dense,0.6072694063186646,0.542091429233551,0.06517797708511353,True
S002,S002-Q052,Task cosine,0.7933222528292091,0.681641261675433,0.11168099115377605,True
S002,S002-Q052,Fact cosine,0.42918714458865787,0.4435664083699231,-0.01437926378126525,False
S002,S002-Q052,Relation cosine,0.5973930838831563,0.6558192763220833,-0.058426192438926994,False
S002,S002-Q052,Field-aware final,0.6081144147517538,0.5643506073864673,0.04376380736528651,True
S002,S002-Q055,C3 Dense,0.5007023811340332,0.5581398010253906,-0.05743741989135742,False
S002,S002-Q055,Task cosine,0.6188769340515137,0.6435174942016602,-0.024640560150146484,False
S002,S002-Q055,Fact cosine,0.41615933179855347,0.4472167193889618,-0.031057387590408325,False
S002,S002-Q055,Relation cosine,0.5181809046052808,0.613674521446228,-0.09549361684094726,False
S002,S002-Q055,Field-aware final,0.5176506872610831,0.5468692880783059,-0.02921860081722283,False
S002,S002-Q056,C3 Dense,0.33248934149742126,0.42085227370262146,-0.0883629322052002,False
S002,S002-Q056,Task cosine,0.46980818746187536,0.6625386275374071,-0.19273044007553175,False
S002,S002-Q056,Fact cosine,0.34000895500289857,0.35669874290816445,-0.016689787905265874,False
S002,S002-Q056,Relation cosine,0.4549880623817444,0.5445534640018301,-0.08956540162008575,False
S002,S002-Q056,Field-aware final,0.41492446946225847,0.4810724014608602,-0.06614793199860175,False
S002,S002-Q063,C3 Dense,0.6479683518409729,0.6944295167922974,-0.04646116495132446,False
S002,S002-Q063,Task cosine,0.5800550925764497,0.7634898879223995,-0.18343479534594975,False
S002,S002-Q063,Fact cosine,0.5390803217887878,0.5456080436706543,-0.006527721881866455,False
S002,S002-Q063,Relation cosine,0.8109728097915649,0.8479585556959245,-0.036985745904359546,False
S002,S002-Q063,Field-aware final,0.609848727704408,0.66947039404712,-0.05962166634271204,False
S002,S002-Q065,C3 Dense,0.650933027267456,0.6502840518951416,0.0006489753723144531,True
S002,S002-Q065,Task cosine,0.6348638912954265,0.652371346950531,-0.017507455655104476,False
S002,S002-Q065,Fact cosine,0.5238908529281616,0.5947979688644409,-0.0709071159362793,False
S002,S002-Q065,Relation cosine,0.6918812990188599,0.793476939201355,-0.10159564018249512,False
S002,S002-Q065,Field-aware final,0.5985152634349797,0.6222923755645753,-0.023777112129595546,False
S002,S002-Q066,C3 Dense,0.6374316811561584,0.6030187606811523,0.034412920475006104,True
S002,S002-Q066,Task cosine,0.6466648964086114,0.7348086079841023,-0.08814371157549095,False
S002,S002-Q066,Fact cosine,0.50528883934021,0.496099591255188,0.009189248085021973,True
S002,S002-Q066,Relation cosine,0.7124153971672058,0.7160990068971519,-0.00368360972994608,False
S002,S002-Q066,Field-aware final,0.5992766057649827,0.5815229710294869,0.017753634735495738,True
S002,S002-Q070,C3 Dense,0.4726150631904602,0.523015558719635,-0.050400495529174805,False
S002,S002-Q070,Task cosine,0.5373430572356616,0.735169156501839,-0.19782609926617745,False
S002,S002-Q070,Fact cosine,0.26764100790023804,0.34344178438186646,-0.07580077648162842,False
S002,S002-Q070,Relation cosine,0.5074042677879333,0.545195167683979,-0.03779089989604567,False
S002,S002-Q070,Field-aware final,0.42347447961194656,0.500028828496546,-0.07655434888459939,False
S003,S003-Q007,C3 Dense,0.3476473391056061,0.36124932765960693,-0.013601988554000854,False
S003,S003-Q007,Task cosine,0.4176939974840878,0.43371090292930603,-0.01601690544521822,False
S003,S003-Q007,Fact cosine,0.420457124710083,0.4280901253223419,-0.007633000612258911,False
S003,S003-Q007,Relation cosine,0.5834376712515746,0.5717740654945374,0.011663605757037288,True
S003,S003-Q007,Field-aware final,0.4519479831279833,0.45491712093353276,-0.002969137805549471,False
S003,S003-Q011,C3 Dense,0.494103342294693,0.4915088713169098,0.002594470977783203,True
S003,S003-Q011,Task cosine,0.5492834180166375,0.5414354801177979,0.007847937898839641,True
S003,S003-Q011,Fact cosine,0.4791204035282135,0.5103524923324585,-0.031232088804244995,False
S003,S003-Q011,Relation cosine,0.620308802091026,0.5613975263474897,0.05891127574353627,True
S003,S003-Q011,Field-aware final,0.5354232890361457,0.5219654440879822,0.013457844948163489,True
S003,S003-Q013,C3 Dense,0.5069320797920227,0.6100979447364807,-0.10316586494445801,False
S003,S003-Q013,Task cosine,0.5886411421681131,0.6678491830825806,-0.07920804091446743,False
S003,S003-Q013,Fact cosine,0.4889570170019279,0.5200108599669254,-0.031053842964997525,False
S003,S003-Q013,Relation cosine,0.711065411567688,0.7246364026828293,-0.013570991115141262,False
S003,S003-Q013,Field-aware final,0.5732523459815541,0.6120829158944204,-0.038830569912866375,False
S003,S003-Q014,C3 Dense,0.6167545914649963,0.5443106889724731,0.0724439024925232,True
S003,S003-Q014,Task cosine,0.6910050511360168,0.5331740379333496,0.15783101320266724,True
S003,S003-Q014,Fact cosine,0.48834896087646484,0.5157141089439392,-0.027365148067474365,False
S003,S003-Q014,Relation cosine,0.6588309203881574,0.5981705667769234,0.06066035361123401,True
S003,S003-Q014,Field-aware final,0.6035077888826242,0.5184674326281458,0.08504035625447848,True
S003,S003-Q021,C3 Dense,0.6651113629341125,0.735361635684967,-0.07025027275085449,False
S003,S003-Q021,Task cosine,0.590049147605896,0.7275435328483582,-0.13749438524246216,False
S003,S003-Q021,Fact cosine,0.6423035050811473,0.6968477603015614,-0.05454425522041406,False
S003,S003-Q021,Relation cosine,0.702814519405365,0.770638108253479,-0.06782358884811401,False
S003,S003-Q021,Field-aware final,0.6335039649558905,0.7174651955055124,-0.0839612305496219,False
S003,S003-Q022,C3 Dense,0.6499589681625366,0.6348512768745422,0.015107691287994385,True
S003,S003-Q022,Task cosine,0.6691813867796294,0.6575192213058472,0.011662165473782182,True
S003,S003-Q022,Fact cosine,0.5838485112099953,0.5684634785928415,0.015385032617153738,True
S003,S003-Q022,Relation cosine,0.8065677169899772,0.7058814588714516,0.1006862581185256,True
S003,S003-Q022,Field-aware final,0.656932808696395,0.6288065295554212,0.028126279140973875,True
