query_id,candidate_k,page_id,is_eligible_gold,candidate_rank,candidate_score_rrf60,dense_rank,bm25_rank,reranker_rank,reranker_cached_sigmoid_score
S001-Q035,15,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,8,0.028309409888357256,16,6,11,0.09548009464797659
S001-Q035,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,9,0.027692895339954164,8,17,10,0.1597494239160955
S001-Q035,15,70d0daf9-01a8-5e0f-9341-e20464515e43,False,10,0.027313266443701224,18,9,4,0.510995822105611
S001-Q035,15,6f47beb6-9be8-5a58-be8b-a77a9bbffd9a,False,11,0.026878868258178604,5,27,8,0.2508633847825022
S001-Q035,15,f1228bac-12d1-520f-9787-52a8cdcd49db,False,12,0.02666666666666667,15,15,14,0.02417804943734493
S001-Q035,15,204ccd02-0a09-5bee-9d12-d6469c1688e8,False,13,0.02661401098901099,4,31,7,0.28762800687806345
S001-Q035,15,34fa3574-894f-575c-b9b0-0a183473746e,False,14,0.026553280111072546,26,7,9,0.1869524304376728
S001-Q035,15,fb76b32a-859d-5228-b170-550c026c1646,False,15,0.026553280111072546,7,26,15,0.023522159327944152
S001-Q039,15,05b70e73-30bc-59f9-98c1-7b8ae315ffd0,False,1,0.032018442622950824,1,4,14,0.01661233771539774
S001-Q039,15,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,True,2,0.031024531024531024,3,6,5,0.0718101130031499
S001-Q039,15,fb76b32a-859d-5228-b170-550c026c1646,False,3,0.030536130536130537,6,5,8,0.05524997719472342
S001-Q039,15,e7eefead-7365-5540-b914-0d6077a14d8c,False,4,0.03028233151183971,12,1,1,0.9926890594533674
S001-Q039,15,adb63a6d-b7bd-5396-8e59-1cb9403d2c73,False,5,0.029827662395050816,2,13,4,0.10638163595848833
S001-Q039,15,812b1a36-c36b-58cb-882e-3759ed7c7c58,False,6,0.02946912242686891,5,11,11,0.030861873697584252
S001-Q039,15,d5c03971-3795-5256-a75f-b3921d61a92d,False,7,0.029418126757516764,9,7,7,0.05797152540013837
S001-Q039,15,28a3b6de-dd4b-5bf8-919e-169ce12b1349,False,8,0.028177225029148854,23,2,2,0.9834509833681588
S001-Q039,15,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,False,9,0.027777777777777776,24,3,10,0.047518578604055055
S001-Q039,15,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,False,10,0.027529761904761904,4,24,13,0.022691051925088693
S001-Q039,15,32b5d492-2df9-5ed9-ac46-caca5c87097c,False,11,0.027526395173453996,8,18,6,0.06138222702210437
S001-Q039,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,12,0.027271052146674038,7,21,3,0.1767239046422561
S001-Q039,15,71a788a3-0077-5908-a7f4-d02349fd6e1c,False,13,0.02690100430416069,22,8,15,0.003453032797664107
S001-Q039,15,b4497adc-7393-57c0-8917-ce3372fbd151,False,14,0.026875901875901876,17,12,12,0.023024158493699806
S001-Q039,15,c107828c-a741-55f6-8e0c-446cfbdba215,True,15,0.02658450704225352,11,20,9,0.05074695891600566
S001-Q042,15,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,1,0.031754032258064516,4,2,2,0.8594481030588916
S001-Q042,15,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,False,2,0.0304147465437788,2,10,6,0.27349276069330297
S001-Q042,15,204ccd02-0a09-5bee-9d12-d6469c1688e8,False,3,0.03036576949620428,9,3,4,0.3855068483843887
S001-Q042,15,812b1a36-c36b-58cb-882e-3759ed7c7c58,False,4,0.029138513513513514,14,4,13,0.043054183621970325
S001-Q042,15,9b4b60a1-f0f9-5368-b4ce-b441752321bb,False,5,0.029051670471052088,19,1,1,0.9738352343337305
S001-Q042,15,77cecfad-195f-539e-b105-acf49d23a9c6,False,6,0.028790389395194696,8,11,10,0.12346014147187635
S001-Q042,15,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,False,7,0.02871794871794872,5,15,11,0.11708872236987106
S001-Q042,15,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,8,0.028404512489927477,13,8,5,0.3269252559043924
S001-Q042,15,55e7e466-3b1c-5014-85fc-2a14618ce254,False,9,0.027598020555767037,11,14,7,0.24579522297404027
S001-Q042,15,fb76b32a-859d-5228-b170-550c026c1646,False,10,0.027500922849760058,3,26,12,0.09719609926532967
S001-Q042,15,05b70e73-30bc-59f9-98c1-7b8ae315ffd0,False,11,0.026919758412424506,1,35,15,0.002922000434198105
S001-Q042,15,e7eefead-7365-5540-b914-0d6077a14d8c,False,12,0.026830135039090264,24,7,3,0.45705198039269584
S001-Q042,15,c107828c-a741-55f6-8e0c-446cfbdba215,False,13,0.02674825174825175,28,5,14,0.01265131447240106
S001-Q042,15,33eb4d66-a4c5-5429-b3bd-48948bb5d443,False,14,0.026547116736990152,12,19,8,0.15186530984373173
S001-Q042,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,15,0.02649122807017544,15,16,9,0.1462868673690243
S001-Q044,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,1,0.03278688524590164,1,1,3,0.6063289997189522
S001-Q044,15,812b1a36-c36b-58cb-882e-3759ed7c7c58,False,2,0.0315136476426799,5,2,1,0.7346443134231965
S001-Q044,15,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,False,3,0.03128054740957967,2,6,2,0.654133026358537
S001-Q044,15,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,4,0.02976190476190476,12,3,8,0.0038525938289862196
S001-Q044,15,fb76b32a-859d-5228-b170-550c026c1646,False,5,0.029411764705882353,8,8,10,0.0030939042367910843
S001-Q044,15,70d0daf9-01a8-5e0f-9341-e20464515e43,False,6,0.02857142857142857,10,10,7,0.014217305749724424
S001-Q044,15,77cecfad-195f-539e-b105-acf49d23a9c6,False,7,0.028125,20,4,5,0.022117068350945235
S001-Q044,15,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,False,8,0.027745885954841176,7,18,6,0.014437949651838285
S001-Q044,15,ec485c25-9d3b-5229-9578-6632bd7bacad,False,9,0.027236652236652236,3,28,13,0.00038793721293414523
S001-Q044,15,e7eefead-7365-5540-b914-0d6077a14d8c,False,10,0.0266900790166813,25,7,4,0.0970873644003903
S001-Q044,15,5fcaa70b-2b7a-509b-bb78-82c6345a84eb,False,11,0.02668564312399929,17,13,11,0.0019023500705755737
S001-Q044,15,71a788a3-0077-5908-a7f4-d02349fd6e1c,False,12,0.026540946394272742,23,9,9,0.0031950106107081033
S001-Q044,15,adb63a6d-b7bd-5396-8e59-1cb9403d2c73,False,13,0.026397515527950312,9,24,14,0.0003347036660690853
S001-Q044,15,05b70e73-30bc-59f9-98c1-7b8ae315ffd0,False,14,0.02637768817204301,4,33,15,0.0003091457630944187
S001-Q044,15,33eb4d66-a4c5-5429-b3bd-48948bb5d443,False,15,0.026234567901234566,21,12,12,0.0005450732000502233
S001-Q049,15,e2db6251-93c2-54d2-b811-75ba0665e53c,False,1,0.03128054740957967,2,6,5,0.2386281737481414
S001-Q049,15,5fcaa70b-2b7a-509b-bb78-82c6345a84eb,False,2,0.03125763125763126,3,5,1,0.3340087698306787
S001-Q049,15,05b70e73-30bc-59f9-98c1-7b8ae315ffd0,False,3,0.029051670471052088,1,19,15,0.000337085339661277
S001-Q049,15,adb63a6d-b7bd-5396-8e59-1cb9403d2c73,False,4,0.02900988017658188,7,11,14,0.0028797292348242995
S001-Q049,15,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,False,5,0.02844551282051282,4,18,9,0.05610564861947365
S001-Q049,15,55e7e466-3b1c-5014-85fc-2a14618ce254,False,6,0.028370221327967807,11,10,6,0.13540402184275702
S001-Q049,15,2ec87be4-468b-5498-889b-13f43f4ee222,False,7,0.02821869488536155,21,3,11,0.021473827309773187
S001-Q049,15,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,8,0.027479766610201392,17,9,10,0.053937428251655574
S001-Q049,15,7c06f308-8022-5f54-a63c-ab30458f4115,False,9,0.027031740495291244,34,1,3,0.3168139511789789
S001-Q049,15,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,False,10,0.02690100430416069,22,8,8,0.058717150944004266
S001-Q049,15,dc5bd854-533a-501d-bb9c-f3d1b7c06fde,False,11,0.026830135039090264,24,7,12,0.010299989723215445
S001-Q049,15,b4497adc-7393-57c0-8917-ce3372fbd151,False,12,0.026736111111111113,30,4,7,0.06278317590197345
S001-Q049,15,3b7f143a-e38f-5d11-9219-ef3c808f775a,False,13,0.026333113890717574,38,2,4,0.29896046136876586
S001-Q049,15,d5c03971-3795-5256-a75f-b3921d61a92d,False,14,0.026200135226504394,8,27,13,0.007109971165679055
S001-Q049,15,de592e81-e050-536b-8909-32866c85f6c2,True,15,0.02604430914933198,13,21,2,0.3212658192606017
S001-Q007,20,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,1,0.03278688524590164,1,1,2,0.07981149507197315
