candidate_representation,candidate_strategy,candidate_k,rerank_representation,reranker_model,candidate_recall,evaluated_query_count,eligible_gold_count,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,max_gold_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,score_all_visible_mean_ms,score_all_visible_p95_ms,status
P0,rrf60,20,P1,BAAI/bge-reranker-base,0.9047619047619048,14,21,0.23808364254792824,0.24327865738445914,9.714285714285714,7,26,0.0,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.7619047619047619,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,rrf60,20,P8,BAAI/bge-reranker-base,0.9047619047619048,14,21,0.30980983302411874,0.29763421779057675,9.666666666666666,8,26,0.047619047619047616,0.3333333333333333,0.47619047619047616,0.5238095238095238,0.8095238095238095,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,rrf60,30,P0,BAAI/bge-reranker-base,1.0,14,21,0.2254954503168789,0.18674753355672655,12.047619047619047,12,27,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.6666666666666666,0.7619047619047619,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,rrf60,30,P1,BAAI/bge-reranker-base,1.0,14,21,0.23327326698069734,0.2156463140105633,10.19047619047619,7,26,0.0,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.7142857142857143,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,rrf60,30,P8,BAAI/bge-reranker-base,1.0,14,21,0.29275301029502715,0.2713393987662372,10.285714285714286,8,28,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,weighted_dense_0.8,10,P0,BAAI/bge-reranker-base,0.6190476190476191,14,21,0.2572389911675626,0.20408743850731245,10.380952380952381,9,27,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,weighted_dense_0.8,10,P1,BAAI/bge-reranker-base,0.6190476190476191,14,21,0.2383047508047508,0.24640517946674664,10.047619047619047,9,27,0.0,0.2857142857142857,0.42857142857142855,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,weighted_dense_0.8,10,P8,BAAI/bge-reranker-base,0.6190476190476191,14,21,0.3013999888999889,0.2776554187491886,9.904761904761905,9,27,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,weighted_dense_0.8,15,P0,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.23521518164375307,0.1916992079800556,10.857142857142858,11,27,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.47619047619047616,0.7619047619047619,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,weighted_dense_0.8,15,P1,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.21106809856809858,0.2156463140105633,10.238095238095237,8,27,0.0,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.7619047619047619,0.8095238095238095,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,weighted_dense_0.8,15,P8,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.27013403263403263,0.2606497491615768,10.238095238095237,10,27,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8095238095238095,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,weighted_dense_0.8,20,P0,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.22368814658730624,0.18674753355672655,11.523809523809524,12,27,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,weighted_dense_0.8,20,P1,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.20442563388991958,0.18801397063666747,10.619047619047619,8,27,0.0,0.23809523809523808,0.3333333333333333,0.5238095238095238,0.7619047619047619,0.8095238095238095,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,weighted_dense_0.8,20,P8,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.2666705318491033,0.2606497491615768,10.523809523809524,10,27,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8095238095238095,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,weighted_dense_0.8,30,P0,BAAI/bge-reranker-base,1.0,14,21,0.22610193547387072,0.18674753355672655,11.761904761904763,12,27,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.6666666666666666,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,weighted_dense_0.8,30,P1,BAAI/bge-reranker-base,1.0,14,21,0.2337155491567256,0.2156463140105633,10.047619047619047,7,26,0.0,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.7142857142857143,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,weighted_dense_0.8,30,P8,BAAI/bge-reranker-base,1.0,14,21,0.29314983569185254,0.2713393987662372,10.142857142857142,8,28,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,weighted_dense_0.6,10,P0,BAAI/bge-reranker-base,0.47619047619047616,14,21,0.21830015222872365,0.15598492226576988,11.142857142857142,11,27,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,weighted_dense_0.6,10,P1,BAAI/bge-reranker-base,0.47619047619047616,14,21,0.20353257853257853,0.2049566644059029,10.857142857142858,11,27,0.0,0.23809523809523808,0.38095238095238093,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,weighted_dense_0.6,10,P8,BAAI/bge-reranker-base,0.47619047619047616,14,21,0.25472305472305473,0.2268547784332407,10.761904761904763,11,27,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,weighted_dense_0.6,15,P0,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.23390101961530532,0.20369022732596198,10.523809523809524,10,27,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.5238095238095238,0.7619047619047619,0.8571428571428571,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,weighted_dense_0.6,15,P1,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.211476023976024,0.2156463140105633,10.142857142857142,8,27,0.0,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.7619047619047619,0.8571428571428571,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,weighted_dense_0.6,15,P8,BAAI/bge-reranker-base,0.7619047619047619,14,21,0.28190559440559443,0.27000187441668094,10.095238095238095,9,27,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8571428571428571,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,weighted_dense_0.6,20,P0,BAAI/bge-reranker-base,0.8571428571428571,14,21,0.22390317278917454,0.18674753355672655,11.428571428571429,12,27,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.8571428571428571,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,weighted_dense_0.6,20,P1,BAAI/bge-reranker-base,0.8571428571428571,14,21,0.20464066009178788,0.18801397063666747,10.523809523809524,8,27,0.0,0.23809523809523808,0.3333333333333333,0.5238095238095238,0.7142857142857143,0.8571428571428571,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,weighted_dense_0.6,20,P8,BAAI/bge-reranker-base,0.8571428571428571,14,21,0.26718317709859063,0.2606497491615768,10.380952380952381,10,27,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8571428571428571,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,weighted_dense_0.6,30,P0,BAAI/bge-reranker-base,1.0,14,21,0.22610193547387072,0.18674753355672655,11.80952380952381,12,27,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.6666666666666666,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,weighted_dense_0.6,30,P1,BAAI/bge-reranker-base,1.0,14,21,0.2337155491567256,0.2156463140105633,10.047619047619047,7,26,0.0,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.7142857142857143,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
