variant,baseline,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
V2-Global,C3,V2-Global vs C3,S004,S004-Q026,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,S004-Q019,14,13,1,0.7453212141990662,0.7539003491401672,0.008579134941101074
V2-Global,C3,V2-Global vs C3,S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,S004-Q022,8,7,1,0.7841389775276184,0.7877012491226196,0.0035622715950012207
V2-Global,C3,V2-Global vs C3,S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,S004-Q023,5,4,1,0.6531623601913452,0.624641478061676,-0.02852088212966919
V2-Global,C3,V2-Global vs C3,S004,S004-Q033,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,19,10,9,0.60422682762146,0.5954365730285645,-0.008790254592895508
V2-Global,C3,V2-Global vs C3,S004,S004-Q035,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,3,6,-3,0.5494986772537231,0.5426957607269287,-0.006802916526794434
V2-Global,C3,V2-Global vs C3,S004,S004-Q039,c022f180-c519-52a7-9c70-3f15928609b5,S004-Q027,4,3,1,0.5578400492668152,0.5214325785636902,-0.036407470703125
V2-Global,C3,V2-Global vs C3,S004,S004-Q039,594016a4-b321-5143-a8c6-3923fed20111,S004-Q032,21,26,-5,0.489423006772995,0.40202072262763977,-0.08740228414535522
V2-Global,C3,V2-Global vs C3,S004,S004-Q042,c61777d3-f94f-5655-9b6b-9d6cdc28c303,S004-Q036,4,24,-20,0.5434472560882568,0.4791639745235443,-0.06428328156471252
V2-Global,C3,V2-Global vs C3,S004,S004-Q044,094486b7-1e86-5360-8005-66c6886152c2,S004-Q034,40,39,1,0.30329322814941406,0.3000834882259369,-0.003209739923477173
V2-Global,C3,V2-Global vs C3,S004,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,28,15,13,0.3380138576030731,0.3816470503807068,0.04363319277763367
V2-Global,C3,V2-Global vs C3,S004,S004-Q049,08c5243c-c754-5bb1-b020-dfbf21f542d7,S004-Q043,22,5,17,0.5372671484947205,0.5140235424041748,-0.023243606090545654
V2-Global,C3,V2-Global vs C3,S004,S004-Q052,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,36,8,28,0.5712360143661499,0.6315152049064636,0.06027919054031372
V2-Global,C3,V2-Global vs C3,S004,S004-Q052,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,17,39,-22,0.6142544746398926,0.5638222098350525,-0.05043226480484009
V2-Global,C3,V2-Global vs C3,S004,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,25,40,-15,0.5234483480453491,0.542742908000946,0.019294559955596924
V2-Global,C3,V2-Global vs C3,S004,S004-Q055,90248870-b2cb-59d2-a707-79d09f366d8a,S004-Q051,33,23,10,0.5125783085823059,0.5932963490486145,0.0807180404663086
V2-Global,C3,V2-Global vs C3,S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,3,38,-35,0.6123521327972412,0.45066818594932556,-0.16168394684791565
V2-Global,C3,V2-Global vs C3,S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,S004-Q057,26,12,14,0.4568561911582947,0.5172871351242065,0.060430943965911865
V2-Global,C3,V2-Global vs C3,S004,S004-Q065,ca05266e-320c-5081-9d2d-f7c8689c58a9,S004-Q053,12,20,-8,0.4582591652870178,0.43612658977508545,-0.022132575511932373
V2-Global,C3,V2-Global vs C3,S004,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,S004-Q058,2,15,-13,0.47814619541168213,0.4531657099723816,-0.024980485439300537
