Model,kind,session_id,item_id,source_turn_id,token_count,max_length,truncated,summary_tokens,summary_tokens_kept,summary_truncated,keywords_tokens,keywords_tokens_kept,keywords_status
Alibaba-NLP/gte-multilingual-base,Page,S002,b028245b-2874-5422-8987-0fb8f15a1c45,S002-Q070,461,1024,False,419,419,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,469,1024,False,430,430,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,482,1024,False,445,445,False,35,35,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,54c53e7a-2b68-5849-a196-571fccaa0ac3,S003-Q003,515,1024,False,474,474,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,ff050426-ccc1-5faa-8b70-2b3eedf5209b,S003-Q004,473,1024,False,431,431,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,60bc0fda-17d1-5475-9f92-6434dee83888,S003-Q005,486,1024,False,448,448,False,36,36,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,507,1024,False,465,465,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,309,1024,False,268,268,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,442,1024,False,401,401,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,6acea1bf-012f-53f4-bac8-545da6e86a3e,S003-Q009,394,1024,False,354,354,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,49d340b2-23e8-5b2c-abec-13dbe4b21de7,S003-Q010,484,1024,False,443,443,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,3446dbc5-5d91-5f49-a1fe-1d68979506a4,S003-Q011,343,1024,False,301,301,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,317,1024,False,275,275,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,3bd00881-7f00-5756-9420-0d2f71ecdc25,S003-Q013,379,1024,False,337,337,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,369,1024,False,327,327,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,483,1024,False,443,443,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,25fd6ff3-e933-563b-baa2-5722e21d26fc,S003-Q016,333,1024,False,291,291,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,c2e23686-4871-5c9c-952e-5ac662b6d9bb,S003-Q017,341,1024,False,294,294,False,45,45,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,316,1024,False,273,273,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,338,1024,False,295,295,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,8319fad1-425d-545c-8ef3-4df0fdc3b11d,S003-Q020,323,1024,False,283,283,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,78d45bb9-9e17-532c-ac94-a233f3897490,S003-Q021,419,1024,False,377,377,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,341,1024,False,301,301,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,344,1024,False,297,297,False,45,45,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,f72f3149-1377-5599-b08d-64731562b90f,S003-Q024,411,1024,False,364,364,False,45,45,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,2013e8e4-8edb-5c7a-9104-a9e3d152b49c,S003-Q025,318,1024,False,275,275,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,cdb5dd69-63b7-55e7-a4a0-85d8028c468c,S003-Q026,355,1024,False,310,310,False,43,43,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,505,1024,False,464,464,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,7a6c2c70-6d05-5a6d-9a53-32d92efee826,S003-Q028,297,1024,False,258,258,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,331,1024,False,291,291,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,fe6436d0-9e94-53f7-ae4c-13a3d82b10ba,S003-Q030,338,1024,False,293,293,False,43,43,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,3feeb57b-680f-5621-a81f-e1d1879ae37d,S003-Q031,328,1024,False,286,286,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,339,1024,False,297,297,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,05e85ae0-3d1a-5b35-8b21-33024859d641,S003-Q033,323,1024,False,283,283,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,455,1024,False,411,411,False,42,42,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,e8774fb1-5e27-5d8f-8399-9a697a3030b4,S003-Q035,397,1024,False,351,351,False,44,44,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,316,1024,False,275,275,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,cd287a69-0373-5edb-a16a-81be12c7a77e,S003-Q037,328,1024,False,287,287,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,a66c00f0-adb2-544a-954c-97b7393168b0,S003-Q038,331,1024,False,295,295,False,34,34,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S003,de8457cd-4b07-5775-9f5e-95f5d65583a0,S003-Q039,345,1024,False,303,303,False,40,40,FULLY_KEPT
