Config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,transition,dense_rank,hybrid_rank,dense_score,raw_bm25_score,normalized_bm25_score,final_score,zero_fallback_applied
H5-W50,H5-W50 vs Dense,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,18,24,-6,0.4406288266181946,0.2203144133090973,-0.2203144133090973,UNCHANGED,18,24,0.4406288266181946,0.0,0.0,0.2203144133090973,False
H5-W50,H5-W50 vs Dense,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,14,21,-7,0.4429168999195099,0.22145844995975494,-0.22145844995975494,UNCHANGED,14,21,0.4429168999195099,0.0,0.0,0.22145844995975494,False
H5-W50,H5-W50 vs Dense,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,1,2,-1,0.48954805731773376,0.24477402865886688,-0.24477402865886688,UNCHANGED,1,2,0.48954805731773376,0.0,0.0,0.24477402865886688,False
H5-W50,H5-W50 vs Dense,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,18,18,0,0.4069208800792694,0.2034604400396347,-0.2034604400396347,UNCHANGED,18,18,0.4069208800792694,0.0,0.0,0.2034604400396347,False
H5-W50,H5-W50 vs Dense,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,4,7,-3,0.4601253867149353,0.23006269335746765,-0.23006269335746765,DEMOTED,4,7,0.4601253867149353,0.0,0.0,0.23006269335746765,False
H5-W50,H5-W50 vs Dense,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,16,24,-8,0.6070505380630493,0.30564053465734864,-0.3014100034057007,UNCHANGED,16,24,0.6070505380630493,1.0776236057281494,0.004230531251647952,0.30564053465734864,False
H5-W50,H5-W50 vs Dense,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,54,55,-1,0.5469114780426025,0.2755651289366075,-0.27134634910599503,UNCHANGED,54,55,0.5469114780426025,1.0720367431640625,0.004218779830612506,0.2755651289366075,False
H5-W50,H5-W50 vs Dense,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,24,29,-5,0.5937093496322632,0.2989699404419556,-0.2947394091903076,UNCHANGED,24,29,0.5937093496322632,1.0776236057281494,0.004230531251647952,0.2989699404419556,False
H5-W50,H5-W50 vs Dense,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,5,10,-5,0.5364928841590881,0.26824644207954407,-0.26824644207954407,DEMOTED,5,10,0.5364928841590881,0.0,0.0,0.26824644207954407,False
H5-W50,H5-W50 vs Dense,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,47,53,-6,0.482970654964447,0.2414853274822235,-0.2414853274822235,UNCHANGED,47,53,0.482970654964447,0.0,0.0,0.2414853274822235,False
