model,kind,item_id,session_id,source_turn_id,raw_text_token_count,official_instruction_added,selected_max_length,truncated
aspire/acge_text_embedding,Page,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003,S003-Q034,620,False,1024,False
aspire/acge_text_embedding,Page,e8774fb1-5e27-5d8f-8399-9a697a3030b4,S003,S003-Q035,533,False,1024,False
aspire/acge_text_embedding,Page,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003,S003-Q036,438,False,1024,False
aspire/acge_text_embedding,Page,cd287a69-0373-5edb-a16a-81be12c7a77e,S003,S003-Q037,445,False,1024,False
aspire/acge_text_embedding,Page,a66c00f0-adb2-544a-954c-97b7393168b0,S003,S003-Q038,462,False,1024,False
aspire/acge_text_embedding,Page,de8457cd-4b07-5775-9f5e-95f5d65583a0,S003,S003-Q039,460,False,1024,False
aspire/acge_text_embedding,Page,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003,S003-Q040,442,False,1024,False
aspire/acge_text_embedding,Page,a6b0b3ff-1196-57db-b387-1d0385fdf04f,S003,S003-Q041,428,False,1024,False
aspire/acge_text_embedding,Page,b304bcc8-8a96-5f89-a945-3cef8078b106,S003,S003-Q042,473,False,1024,False
aspire/acge_text_embedding,Page,2316a391-e779-530b-ac2f-055182347d32,S003,S003-Q043,675,False,1024,False
aspire/acge_text_embedding,Page,a3d3b3e7-64b2-57ba-8ffc-9f9c741bbb55,S003,S003-Q044,435,False,1024,False
aspire/acge_text_embedding,Page,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003,S003-Q045,669,False,1024,False
aspire/acge_text_embedding,Page,8b5ae761-3f22-557a-aa9a-f3d5a03b0951,S003,S003-Q046,448,False,1024,False
aspire/acge_text_embedding,Page,38c8623d-42c1-5db8-ab6e-1f29fd9a82e3,S003,S003-Q047,449,False,1024,False
aspire/acge_text_embedding,Page,b00efb33-3321-5736-b5b5-c41450d53202,S003,S003-Q048,467,False,1024,False
aspire/acge_text_embedding,Page,52504bc2-69f1-5f7b-a827-97850ce991f6,S003,S003-Q049,442,False,1024,False
aspire/acge_text_embedding,Page,59d896c1-0734-53cf-821a-5728dd5fe548,S003,S003-Q050,468,False,1024,False
aspire/acge_text_embedding,Page,9409734e-8235-5011-8c1a-60ed15ad9024,S003,S003-Q051,453,False,1024,False
aspire/acge_text_embedding,Page,cb9da70d-c361-5f9e-9f13-d40731425363,S003,S003-Q052,443,False,1024,False
aspire/acge_text_embedding,Page,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003,S003-Q053,427,False,1024,False
aspire/acge_text_embedding,Page,00e95e1e-ea70-50c3-b519-57b34f70bf65,S003,S003-Q054,459,False,1024,False
aspire/acge_text_embedding,Page,cfed691e-e124-5684-bec0-0e8c33869733,S003,S003-Q055,454,False,1024,False
aspire/acge_text_embedding,Page,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003,S003-Q056,453,False,1024,False
aspire/acge_text_embedding,Page,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003,S003-Q057,444,False,1024,False
aspire/acge_text_embedding,Page,ad470150-cd72-5d94-9d96-467573c4b92b,S003,S003-Q058,448,False,1024,False
aspire/acge_text_embedding,Page,6f9e1be3-446d-5862-81d1-54c475413106,S003,S003-Q059,451,False,1024,False
aspire/acge_text_embedding,Page,aadad3af-5031-5281-97f7-ee1897f7e7a7,S003,S003-Q060,476,False,1024,False
aspire/acge_text_embedding,Page,00f1892f-503a-5094-b7b1-b6dc6688a1e4,S003,S003-Q061,446,False,1024,False
aspire/acge_text_embedding,Page,e6b075df-0710-53c0-a850-a6bc715553b6,S003,S003-Q062,439,False,1024,False
aspire/acge_text_embedding,Page,3d0fd2e7-51f7-5c7b-987f-07f1185ddcae,S003,S003-Q063,451,False,1024,False
aspire/acge_text_embedding,Page,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003,S003-Q064,450,False,1024,False
aspire/acge_text_embedding,Page,7a01132c-40cf-51c3-9d47-811e696bd29c,S003,S003-Q065,431,False,1024,False
aspire/acge_text_embedding,Page,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003,S003-Q066,463,False,1024,False
aspire/acge_text_embedding,Page,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003,S003-Q067,446,False,1024,False
aspire/acge_text_embedding,Page,467b36fc-c77c-535b-bf26-e3eb45eb13bd,S003,S003-Q068,448,False,1024,False
aspire/acge_text_embedding,Page,04d07215-21cd-5045-831c-4e47a6fc6d37,S003,S003-Q069,454,False,1024,False
aspire/acge_text_embedding,Page,4b7d4f56-79e6-586a-8a09-c70fb207dda9,S003,S003-Q070,442,False,1024,False
aspire/acge_text_embedding,Page,96af7f08-1678-5164-9e1e-935a577a7d1b,S003,S003-Q071,449,False,1024,False
aspire/acge_text_embedding,Page,ccf27b0e-2667-569f-9c15-552ac429b180,S003,S003-Q072,436,False,1024,False
aspire/acge_text_embedding,Page,2fdaac5c-103c-5100-8480-7d15511a3658,S003,S003-Q073,454,False,1024,False
aspire/acge_text_embedding,Page,5a497718-c3f2-535a-82ec-c58ab46a1e18,S003,S003-Q074,442,False,1024,False
aspire/acge_text_embedding,Page,940de09d-d4f8-5636-8091-09583b94a668,S003,S003-Q075,449,False,1024,False
aspire/acge_text_embedding,Page,f8a82be9-6f48-5dfb-b924-c74f72770e6c,S003,S003-Q076,462,False,1024,False
